FECHA,X,Y,Z
1,2.13,9.361,-2.793
2,1.9409999999999998,9.289,-3.179
3,2.06,9.289,-3.1
4,1.902,9.332,-3.0810000000000004
5,1.79,9.375,-3.069
6,1.768,9.353,-2.9610000000000003
7,1.8259999999999998,9.351,-3.114
8,4.204,9.262,-2.0
9,-2.784,3.787,12.419
10,-1.038,0.265,11.575999999999999
11,1.155,0.284,9.701
12,1.054,0.301,9.823
13,1.143,0.39899999999999997,9.767999999999999
14,1.033,0.287,9.648
15,1.002,0.244,9.861
16,1.045,0.301,9.799
17,1.054,0.40399999999999997,9.729
18,1.016,0.354,9.753
19,1.026,0.35600000000000004,9.727
20,1.057,0.342,9.732000000000001
21,1.102,0.23600000000000002,9.811
22,1.064,0.335,9.801
23,1.112,0.272,9.652999999999999
24,1.21,0.325,9.751
25,1.081,0.287,9.738999999999999
26,0.971,0.359,9.775
27,1.109,0.433,9.717
28,1.0859999999999999,0.32299999999999995,9.607000000000001
29,0.743,0.7390000000000001,9.883
30,0.767,0.818,9.672
31,0.6779999999999999,0.8640000000000001,9.765
32,0.618,0.8640000000000001,9.693
33,0.618,0.852,9.772
34,0.583,0.9229999999999999,9.854
35,0.669,0.9079999999999999,9.823
36,0.642,0.8859999999999999,9.871
37,0.7070000000000001,0.937,9.705
38,0.585,0.893,9.736
39,0.561,0.9129999999999999,9.767999999999999
40,0.674,0.89,9.878
41,0.611,0.862,9.756
42,0.688,0.9109999999999999,9.744
43,0.657,0.9420000000000001,9.691
44,0.7020000000000001,0.988,9.906
45,0.578,0.973,9.738999999999999
46,0.578,0.9420000000000001,9.789
47,0.65,0.9159999999999999,9.801
48,0.633,1.035,9.765
49,0.693,0.847,9.748
50,0.642,0.973,9.732000000000001
