FECHA,X,Y,Z    
1,0.9732182025909424,-1.189224624633789,-2.5675249576568597
2,0.7729952096939087,-1.1535961627960205,-2.680616855621338
3,0.8520954012870788,-1.1711418867111203,-2.661844062805176
4,0.7898151516914368,-1.1517430305480958,-2.674147176742553
5,0.7765759825706482,-1.1611026525497437,-2.66896653175354
6,0.8001506209373475,-1.1493576765060425,-2.669370794296265
7,0.8033349514007568,-1.1503007411956787,-2.6745433807373047
8,0.8328001499176025,-1.1797451972961426,-2.638657331466675
9,0.866326904296875,-1.17728750705719,-2.634795093536377
10,0.8486368656158447,-1.161522388458252,-2.6413474082946777
11,0.9795053005218506,-1.2298223972320557,-2.509485244750977
12,0.8867599964141846,-1.3052321672439575,-2.563960313796997
13,0.7223896980285645,-1.3879811763763428,-2.6916427612304688
14,0.8897383689880372,-1.4158162117004394,-2.634142303466797
15,0.8405922293663025,-1.382705235481262,-2.654755687713623
16,2.025532484054565,-1.5163565874099731,-1.4332931041717532
17,1.140142798423767,-1.3105294466018678,-2.333184003829956
18,0.8533039689064026,-1.2233968734741212,-2.656147718429565
19,0.673733115196228,-1.2358042001724243,-2.80383038520813
20,0.6671799421310425,-1.2424635887145996,-2.7398080825805664
21,0.6201624155044556,-1.319058895111084,-2.8211374282836914
22,0.5542661547660828,-1.2851899862289429,-2.8802547454833984
23,0.6271902322769165,-1.2982450723648071,-2.833426713943481
24,0.5902467012405396,-1.3147121906280517,-2.8570626258850096
25,0.5786654353141785,-1.2945762872695925,-2.875824451446533
26,0.8026810288429259,-1.2912298440933228,-2.730234384536743
27,0.8366785645484924,-1.3009120225906372,-2.658742904663086
28,0.9941663146018982,-1.303063154220581,-2.4987001419067383
29,0.9784706830978394,-1.2883572578430176,-2.489384889602661
30,0.9912315726280212,-1.3109833240509032,-2.4922307968139648
31,1.0218734741210938,-1.3173882722854615,-2.47575421333313
32,0.9303744435310364,-1.3219947814941406,-2.5546059608459477
33,0.953735077381134,-1.3021254301071168,-2.4960774421691894
34,0.7635547637939453,-1.2927671432495118,-2.6610948085784907
35,0.760295569896698,-1.302649974822998,-2.5813021659851074
36,0.7700749039649963,-1.2932995557785034,-2.621360206604004
37,0.7873304486274719,-1.288243055343628,-2.6593196392059326
38,0.7137179374694824,-1.2901126146316528,-2.6962034702301025
39,0.9225748300552368,-1.3012181758880614,-2.5309715270996094
40,1.2686004638671875,-1.334726333618164,-2.204962491989136
41,1.0518090724945068,-1.3032459020614624,-2.3387932777404785
42,1.6085584163665771,-1.2814903259277344,-1.65005362033844
43,1.2749671936035156,-1.3524457216262815,-2.003171682357788
44,1.181169867515564,-1.256061553955078,-2.1405105590820312
45,1.0858765840530396,-1.271483564376831,-2.2288637161254883
46,1.0753235578536988,-1.280238962173462,-2.2429701805114752
47,1.1211588382720947,-1.2335909605026243,-2.2026283740997314
48,1.1121708154678345,-1.2665420770645142,-2.1949176788330083
49,1.1474167108535769,-1.251704454421997,-2.1510729789733887
50,1.1272892951965332,-1.258243203163147,-2.1392831802368164
